Topic_id,Word,Weight
0,http,0.027910121829098536
0,splitting,0.019219289165024977
0,via,0.018443201157678377
0,attacks,0.018117766831142228
0,security,0.018031831244060006
0,conduct,0.017896505306629031
0,arbitrary,0.017274741212846077
0,response,0.016601822837466865
0,mail,0.016573850048871495
0,headers,0.016538811451800157
1,http,0.083771563716343561
1,remote,0.041071488814880416
1,injection,0.040728503086341447
1,response,0.039686628484547175
1,vulnerability,0.038597027751780609
1,via,0.037983616105517093
1,attackers,0.037937977706829322
1,attacks,0.036995246528665759
1,allows,0.036789857345472549
1,splitting,0.036652786674909697
2,http,0.0034419504363681378
2,web,0.0034413886569429394
2,attackers,0.0034401934379476896
2,remote,0.0034315773021358978
2,allow,0.003428579020890513
2,spoof,0.00342839756267074
2,poison,0.0034267150356898906
2,(1),0.0034264238693775865
2,beta,0.0034254245966619024
2,via,0.0034248604015710555
3,http,0.087771993934783188
3,splitting,0.048259667819622536
3,response,0.045630543828193718
3,via,0.044618263315571317
3,attacks,0.043607324061157061
3,remote,0.042883413892657068
3,conduct,0.042638019131475947
3,headers,0.041993292407289336
3,arbitrary,0.041866999166173216
3,attackers,0.041429438212746424
4,http,0.009003153128610962
4,crafted,0.0066156840089467072
4,attackers,0.0061111185575090429
4,involving,0.0054613372012692072
4,lotus,0.0054298992546997459
4,splitting,0.0052866974549962637
4,"r.spl.,multiple",0.005271038103692156
4,remote,0.0052482755974747452
4,php,0.0051578280515504728
4,vulnerabilities,0.0051249894995090703
5,http,0.04178878285160377
5,response,0.033649373858737126
5,parameter,0.031883802650819672
5,remote,0.027028120326529723
5,attackers,0.026299779580812348
5,splitting,0.025225722212693868
5,via,0.025215903558487417
5,web,0.02271029636698221
5,vulnerability,0.022243221636946788
5,(1),0.020446972302567781
6,http,0.003410919807144933
6,arbitrary,0.0034075312342960111
6,attacks,0.0034072523670759659
6,via,0.003407215169966814
6,splitting,0.0034065138837815162
6,response,0.0034063843281983718
6,vulnerability,0.0034053963241736504
6,attackers,0.00340533775568701
6,allows,0.003405199561944499
6,remote,0.0034051226491493862
7,http,0.061713067880311709
7,via,0.024468794860272428
7,attackers,0.024068856529561429
7,remote,0.023374020327096692
7,demonstrated,0.022508256972465269
7,allows,0.021162822947568341
7,response-splitting,0.019083390462562133
7,header,0.018808995656815757
7,protection,0.018613028215729063
7,"bypass,""the",0.018576327229425267
8,web,0.05018375293449763
8,splitting,0.037954961504781101
8,response,0.034952643602493068
8,via,0.034734032434244694
8,attackers,0.033438992323462896
8,remote,0.031432037245034808
8,allows,0.029553570364688246
8,vulnerability,0.028232400929775123
8,http,0.028218290743699224
8,crlf,0.025354303219253953
9,web,0.0095632756418096501
9,"r.spl.,""multiple",0.0081832099977991232
9,content,0.0077784235016216813
9,attackers,0.0076999272697527406
9,(2),0.0075653681897016808
9,(1),0.00706806841496079
9,spoof,0.0069499652970639652
9,remote,0.0069454321275604792
9,vulnerabilities,0.006894961894839618
9,via,0.006826646372789417
