CVE-2008-0001,,2008-01-15T15:00:00.000-05:00
CVE-2008-0002,,2008-02-11T20:00:00.000-05:00
CVE-2008-0003,CWE-119,2008-01-08T15:46:00.000-05:00
CVE-2008-0004,,2009-03-26T06:12:08.780-04:00
CVE-2008-0005,CWE-79,2008-01-11T19:46:00.000-05:00
CVE-2008-0006,CWE-119,2008-01-18T18:00:00.000-05:00
CVE-2008-0007,CWE-399,2008-02-07T21:00:00.000-05:00
CVE-2008-0008,CWE-20,2008-01-28T19:00:00.000-05:00
CVE-2008-0009,CWE-20,2008-02-12T16:00:00.000-05:00
CVE-2008-0010,CWE-20,2008-02-12T16:00:00.000-05:00
CVE-2008-0011,CWE-119,2008-06-11T22:32:00.000-04:00
CVE-2008-0012,CWE-119,2008-11-17T18:30:00.377-05:00
CVE-2008-0013,CWE-119,2008-11-17T18:30:00.407-05:00
CVE-2008-0014,CWE-119,2008-11-17T18:30:00.420-05:00
CVE-2008-0015,CWE-119,2009-07-07T19:30:00.187-04:00
CVE-2008-0016,CWE-119,2008-09-24T16:37:04.453-04:00
CVE-2008-0017,CWE-119,2008-11-13T06:30:01.173-05:00
CVE-2008-0020,CWE-94,2009-07-07T19:30:00.217-04:00
CVE-2008-0026,CWE-89,2008-02-14T07:00:00.000-05:00
CVE-2008-0027,CWE-119,2008-01-16T22:00:00.000-05:00
CVE-2008-0028,,2008-01-23T16:00:00.000-05:00
CVE-2008-0029,CWE-255,2008-01-23T16:00:00.000-05:00
CVE-2008-0031,CWE-399,2008-01-15T21:00:00.000-05:00
CVE-2008-0032,CWE-399,2008-01-15T22:00:00.000-05:00
CVE-2008-0033,CWE-399,2008-01-15T22:00:00.000-05:00
CVE-2008-0034,,2008-01-15T21:00:00.000-05:00
CVE-2008-0035,CWE-399,2008-01-15T21:00:00.000-05:00
CVE-2008-0036,CWE-119,2008-01-15T22:00:00.000-05:00
CVE-2008-0037,CWE-264,2008-02-12T15:00:00.000-05:00
CVE-2008-0038,CWE-264,2008-02-12T15:00:00.000-05:00
CVE-2008-0039,CWE-94,2008-02-12T15:00:00.000-05:00
CVE-2008-0040,CWE-399,2008-02-12T15:00:00.000-05:00
CVE-2008-0041,CWE-200,2008-02-12T15:00:00.000-05:00
CVE-2008-0042,CWE-94,2008-02-12T15:00:00.000-05:00
CVE-2008-0043,CWE-94,2008-02-07T21:00:00.000-05:00
CVE-2008-0044,CWE-119,2008-03-18T18:44:00.000-04:00
CVE-2008-0045,CWE-264,2008-03-18T18:44:00.000-04:00
CVE-2008-0046,CWE-264,2008-03-18T18:44:00.000-04:00
CVE-2008-0047,CWE-119,2008-03-18T19:44:00.000-04:00
CVE-2008-0048,CWE-119,2008-03-18T18:44:00.000-04:00
CVE-2008-0049,CWE-264,2008-03-18T18:44:00.000-04:00
CVE-2008-0050,CWE-200,2008-03-18T18:44:00.000-04:00
CVE-2008-0051,CWE-189,2008-03-18T18:44:00.000-04:00
CVE-2008-0052,CWE-200,2008-03-18T19:44:00.000-04:00
CVE-2008-0053,CWE-119,2008-03-18T19:44:00.000-04:00
CVE-2008-0054,CWE-20,2008-03-18T19:44:00.000-04:00
CVE-2008-0055,CWE-362,2008-03-18T19:44:00.000-04:00
CVE-2008-0056,CWE-119,2008-03-18T19:44:00.000-04:00
CVE-2008-0057,CWE-189,2008-03-18T18:44:00.000-04:00
CVE-2008-0058,CWE-362,2008-03-18T19:44:00.000-04:00
CVE-2008-0059,CWE-362,2008-03-18T19:44:00.000-04:00
CVE-2008-0060,CWE-94,2008-03-18T19:44:00.000-04:00
CVE-2008-0061,,2008-01-03T17:46:00.000-05:00
CVE-2008-0062,CWE-189,2008-03-19T06:44:00.000-04:00
CVE-2008-0063,CWE-119,2008-03-19T06:44:00.000-04:00
CVE-2008-0064,CWE-119,2008-01-31T15:00:00.000-05:00
CVE-2008-0065,CWE-119,2008-01-22T15:00:00.000-05:00
CVE-2008-0066,CWE-119,2008-04-10T14:05:00.000-04:00
CVE-2008-0067,CWE-119,2009-01-08T14:30:00.407-05:00
CVE-2008-0068,CWE-22,2008-04-16T14:05:00.000-04:00
CVE-2008-0069,CWE-119,2008-04-02T13:44:00.000-04:00
CVE-2008-0070,CWE-189,2008-03-31T13:44:00.000-04:00
CVE-2008-0071,CWE-20,2008-06-16T14:41:00.000-04:00
CVE-2008-0072,CWE-134,2008-03-05T19:44:00.000-05:00
CVE-2008-0073,CWE-189,2008-03-24T18:44:00.000-04:00
CVE-2008-0074,CWE-264,2008-02-12T16:00:00.000-05:00
CVE-2008-0075,CWE-94,2008-02-12T16:00:00.000-05:00
CVE-2008-0076,CWE-94,2008-02-12T18:00:00.000-05:00
CVE-2008-0077,CWE-399,2008-02-12T18:00:00.000-05:00
CVE-2008-0078,CWE-94,2008-02-12T18:00:00.000-05:00
CVE-2008-0080,CWE-119,2008-02-12T18:00:00.000-05:00
CVE-2008-0081,,2008-01-16T18:00:00.000-05:00
CVE-2008-0082,CWE-200,2008-08-12T20:41:00.000-04:00
CVE-2008-0083,CWE-94,2008-04-08T19:05:00.000-04:00
CVE-2008-0084,,2008-02-12T16:00:00.000-05:00
CVE-2008-0085,CWE-200,2008-07-08T19:41:00.000-04:00
CVE-2008-0086,CWE-119,2008-07-08T19:41:00.000-04:00
CVE-2008-0087,CWE-287,2008-04-08T19:05:00.000-04:00
CVE-2008-0088,CWE-20,2008-02-12T16:00:00.000-05:00
CVE-2008-0089,CWE-89,2008-01-03T20:46:00.000-05:00
CVE-2008-0090,CWE-119,2008-01-03T20:46:00.000-05:00
CVE-2008-0091,CWE-22,2008-01-03T20:46:00.000-05:00
CVE-2008-0092,CWE-79,2008-01-03T20:46:00.000-05:00
CVE-2008-0093,CWE-79,2008-01-07T20:46:00.000-05:00
CVE-2008-0094,CWE-22,2008-01-07T21:46:00.000-05:00
CVE-2008-0095,CWE-399,2008-01-07T21:46:00.000-05:00
CVE-2008-0096,CWE-119,2008-01-07T21:46:00.000-05:00
CVE-2008-0097,CWE-20,2008-01-07T21:46:00.000-05:00
CVE-2008-0098,CWE-119,2008-01-07T21:46:00.000-05:00
CVE-2008-0099,CWE-89,2008-01-07T21:46:00.000-05:00
CVE-2008-0100,CWE-119,2008-01-07T21:46:00.000-05:00
CVE-2008-0101,CWE-20,2008-01-07T21:46:00.000-05:00
CVE-2008-0102,CWE-399,2008-02-12T18:00:00.000-05:00
CVE-2008-0103,CWE-399,2008-02-12T19:00:00.000-05:00
CVE-2008-0104,CWE-94,2008-02-12T18:00:00.000-05:00
CVE-2008-0105,CWE-20,2008-02-12T18:00:00.000-05:00
CVE-2008-0106,CWE-119,2008-07-08T19:41:00.000-04:00
CVE-2008-0107,CWE-189,2008-07-08T19:41:00.000-04:00
CVE-2008-0108,CWE-119,2008-02-12T18:00:00.000-05:00
CVE-2008-0109,CWE-399,2008-02-12T18:00:00.000-05:00
CVE-2008-0110,CWE-94,2008-03-11T19:44:00.000-04:00
CVE-2008-0111,CWE-94,2008-03-11T19:44:00.000-04:00
CVE-2008-0112,CWE-94,2008-03-11T19:44:00.000-04:00
CVE-2008-0113,CWE-94,2008-03-11T19:44:00.000-04:00
CVE-2008-0114,CWE-94,2008-03-11T19:44:00.000-04:00
CVE-2008-0115,CWE-94,2008-03-11T19:44:00.000-04:00
CVE-2008-0116,CWE-94,2008-03-11T19:44:00.000-04:00
CVE-2008-0117,,2008-03-11T19:44:00.000-04:00
CVE-2008-0118,CWE-94,2008-03-11T19:44:00.000-04:00
CVE-2008-0119,CWE-94,2008-05-13T18:20:00.000-04:00
CVE-2008-0120,CWE-399,2008-08-12T20:41:00.000-04:00
CVE-2008-0121,CWE-399,2008-08-12T20:41:00.000-04:00
CVE-2008-0122,CWE-189,2008-01-15T21:00:00.000-05:00
CVE-2008-0123,CWE-79,2008-01-11T20:46:00.000-05:00
CVE-2008-0124,CWE-79,2008-02-28T15:44:00.000-05:00
CVE-2008-0125,CWE-79,2008-03-24T18:44:00.000-04:00
CVE-2008-0127,CWE-119,2008-01-09T19:46:00.000-05:00
CVE-2008-0128,CWE-16,2008-01-22T21:00:00.000-05:00
CVE-2008-0129,CWE-89,2008-01-08T06:46:00.000-05:00
CVE-2008-0130,CWE-89,2008-01-08T06:46:00.000-05:00
CVE-2008-0131,CWE-79,2008-01-08T06:46:00.000-05:00
CVE-2008-0132,CWE-399,2008-01-08T06:46:00.000-05:00
CVE-2008-0133,CWE-89,2008-01-08T14:46:00.000-05:00
CVE-2008-0134,CWE-79,2008-01-08T14:46:00.000-05:00
CVE-2008-0135,CWE-264,2008-01-08T14:46:00.000-05:00
CVE-2008-0136,CWE-200,2008-01-08T14:46:00.000-05:00
CVE-2008-0137,CWE-89,2008-01-08T14:46:00.000-05:00
CVE-2008-0138,CWE-89,2008-01-08T14:46:00.000-05:00
CVE-2008-0139,CWE-89,2008-01-08T14:46:00.000-05:00
CVE-2008-0140,CWE-22,2008-01-08T14:46:00.000-05:00
CVE-2008-0141,CWE-255,2008-01-08T14:46:00.000-05:00
CVE-2008-0142,CWE-89,2008-01-08T14:46:00.000-05:00
CVE-2008-0143,CWE-94,2008-01-08T14:46:00.000-05:00
CVE-2008-0144,CWE-89,2008-01-08T14:46:00.000-05:00
CVE-2008-0145,CWE-264,2008-01-08T14:46:00.000-05:00
CVE-2008-0146,CWE-79,2008-01-08T14:46:00.000-05:00
CVE-2008-0147,CWE-89,2008-01-08T19:46:00.000-05:00
CVE-2008-0148,CWE-264,2008-01-08T19:46:00.000-05:00
CVE-2008-0149,,2008-01-08T19:46:00.000-05:00
CVE-2008-0150,CWE-287,2008-01-08T19:46:00.000-05:00
CVE-2008-0151,CWE-119,2008-01-08T19:46:00.000-05:00
CVE-2008-0152,CWE-119,2008-01-08T19:46:00.000-05:00
CVE-2008-0153,CWE-399,2008-01-08T19:46:00.000-05:00
CVE-2008-0154,CWE-89,2008-01-08T19:46:00.000-05:00
CVE-2008-0155,CWE-79,2008-01-08T19:46:00.000-05:00
CVE-2008-0156,CWE-22,2008-01-08T19:46:00.000-05:00
CVE-2008-0157,CWE-89,2008-01-08T19:46:00.000-05:00
CVE-2008-0158,CWE-22,2008-01-08T19:46:00.000-05:00
CVE-2008-0159,CWE-89,2008-01-08T19:46:00.000-05:00
CVE-2008-0162,CWE-264,2008-02-22T16:44:00.000-05:00
CVE-2008-0163,CWE-59,2008-02-12T16:00:00.000-05:00
CVE-2008-0164,CWE-352,2008-03-19T20:44:00.000-04:00
CVE-2008-0165,CWE-352,2008-04-21T09:05:00.000-04:00
CVE-2008-0166,CWE-310,2008-05-13T13:20:00.000-04:00
CVE-2008-0167,CWE-59,2008-05-18T10:20:00.000-04:00
CVE-2008-0169,CWE-264,2008-06-03T11:32:00.000-04:00
CVE-2008-0171,CWE-20,2008-01-17T18:00:00.000-05:00
CVE-2008-0172,CWE-20,2008-01-17T18:00:00.000-05:00
CVE-2008-0173,CWE-89,2008-01-15T15:00:00.000-05:00
CVE-2008-0174,CWE-310,2008-01-28T21:00:00.000-05:00
CVE-2008-0175,,2008-01-28T21:00:00.000-05:00
CVE-2008-0176,CWE-119,2008-01-28T21:00:00.000-05:00
CVE-2008-0177,,2008-02-07T17:00:00.000-05:00
CVE-2008-0178,CWE-79,2008-02-04T19:00:00.000-05:00
CVE-2008-0179,CWE-79,2008-02-04T19:00:00.000-05:00
CVE-2008-0180,CWE-79,2008-02-04T19:00:00.000-05:00
CVE-2008-0181,CWE-79,2008-02-04T19:00:00.000-05:00
CVE-2008-0182,CWE-352,2008-02-04T19:00:00.000-05:00
CVE-2008-0184,CWE-22,2008-01-09T17:46:00.000-05:00
CVE-2008-0185,CWE-89,2008-01-09T17:46:00.000-05:00
CVE-2008-0186,CWE-79,2008-01-09T17:46:00.000-05:00
CVE-2008-0187,CWE-89,2008-01-09T17:46:00.000-05:00
CVE-2008-0188,,2008-01-16T19:00:00.000-05:00
CVE-2008-0189,,2008-01-16T19:00:00.000-05:00
CVE-2008-0190,CWE-79,2008-01-09T19:46:00.000-05:00
CVE-2008-0191,CWE-200,2008-01-09T19:46:00.000-05:00
CVE-2008-0192,CWE-79,2008-01-09T19:46:00.000-05:00
CVE-2008-0193,CWE-79,2008-01-09T19:46:00.000-05:00
CVE-2008-0194,CWE-22,2008-01-09T19:46:00.000-05:00
CVE-2008-0195,CWE-200,2008-01-09T19:46:00.000-05:00
